chrom	chromStart	chromEnd	beta
chr8	16475892	16477298	0.0
chr10	33398166	33399891	0.83
chr8	15508522	15508561	0.78
chr2	30473526	30475437	0.7
chr7	57346816	57347547	0.0
chr21	35291371	35292218	0.0
chr4	128627648	128629485	0.73
chr14	99320474	99320509	0.6
chr10	12757920	12759893	0.72
chr15	34789419	34791230	0.98
chr18	69793444	69795296	0.9
chr11	74220191	74220397	0.0
chr2	220812443	220814357	0.03
chr5	67836012	67837838	0.91
chr20	26468955	26469149	0.62
chr16	80828310	80829838	0.0
chr4	143192383	143194076	0.6
chr13	110972065	110973928	0.0
chr1	39357378	39359202	0.78
chr2	221152725	221152936	0.45
chrX	87104396	87106281	0.0
chr14	61464513	61466097	0.79
chrX	77686285	77688159	0.93
chr22	24110316	24112200	0.81
chr2	155112340	155113981	0.34
chr13	18285319	18287252	0.0
chr14	59450950	59452236	0.71
chr12	32090252	32091593	0.8
chr1	160617359	160619187	0.0
chr19	57956401	57956902	0.0
chr4	143147213	143147597	0.62
chr3	46942898	46944618	0.8
chr16	32876784	32877966	0.04
chr10	70142252	70142305	0.66
chr6	85468261	85470093	0.83
chr20	22946580	22948565	0.03
chr1	62032828	62034747	0.7
chrX	84804974	84806209	0.09
chrX	84494930	84496412	0.88
chr6	159536015	159537760	0.05
chr3	187820022	187821439	0.0
chr6	157818778	157820770	0.62
chr2	225975990	225977111	0.0
chr17	14837974	14839870	0.0
chr18	77167517	77169348	0.79
chr11	114414653	114415445	0.6
chr19	53067810	53069792	0.76
chr11	114437130	114438946	0.79
chr1	41561890	41563607	0.73
chrX	14955346	14955635	0.0
chr8	106264993	106266988	0.0
chr8	124116338	124116499	1.0
chr4	143458240	143460025	0.81
chr8	57575669	57575685	0.8
chrX	81440499	81442473	0.12
chr9	83610388	83610915	0.94
chr10	122086295	122088040	0.8
chr4	79515720	79517706	0.68
chr20	1031260	1031660	1.0
chr11	14892899	14893678	0.89
chr2	9674029	9674488	0.0
chr11	108147787	108148908	0.66
chr1	222016975	222018935	0.54
chr5	34774936	34775853	0.0
chr18	56998001	56999914	0.92
chrX	10076474	10077911	0.75
chr3	36537551	36539148	1.0
chr1	222109435	222111298	0.82
chr6	57992620	57992814	0.74
chr2	8479457	8479579	0.0
chr12	77839933	77841268	0.04
chr21	34662251	34663397	0.0
chr1	153293247	153293338	0.0
chr9	137453973	137454285	0.0
chr1	157976911	157977324	0.0
chr9	108546095	108548002	0.0
chr16	75421075	75421611	0.0
chr8	91015662	91017381	0.94
chr6	151530681	151532500	0.0
chr17	68413648	68414201	0.01
chr18	60045583	60047392	0.75
chr13	97844965	97845910	0.72
chr5	1462449	1462571	0.48
chr10	46789945	46791887	0.77
chr16	83341279	83343060	0.04
chr12	18882627	18884492	0.76
chr15	29718197	29719982	0.84
chr18	63238772	63239392	0.84
chr12	26127061	26127231	0.6
chr7	103801173	103802971	0.98
chr14	56839675	56839821	0.73
chr17	68995431	68995753	0.58
chr1	35359493	35361078	0.78
chr11	1133671	1135484	0.0
chr13	97223543	97224879	0.1
chr7	103568986	103570656	0.81
chr17	45855045	45855089	0.95
chr17	68864985	68866637	0.12
chr14	55421524	55421743	0.79
chr6	118558946	118560224	0.47
chr2	64121098	64123030	0.67
chr14	24500006	24501111	0.25
chr7	78018712	78019310	0.0
chr10	82234223	82234459	0.0
chr8	30001224	30003134	0.86
chrX	141814647	141816578	0.0
chr16	860155	860780	0.63
chr4	1628487	1628694	0.0
chr14	25943748	25945715	0.14
chr18	5237252	5238892	0.01
chr13	37567640	37569497	0.07
chr8	75397836	75399263	0.61
chr9	41120692	41122628	0.04
chr7	12894217	12894274	0.69
chr9	126980671	126982557	0.81
chr16	89071913	89073017	0.0
chr16	10149941	10150123	0.0
chr2	144682106	144684049	0.89
chr1	96313609	96315291	1.0
chr6	11529674	11529754	0.0
chr1	116283468	116285455	0.74
chr10	52655452	52657370	0.94
chr5	55837176	55838031	0.81
chr17	33507314	33507496	0.0
chr11	93094959	93096760	0.68
chr5	94450765	94451955	0.61
chr1	188154417	188154886	0.8
chr1	93596524	93597493	0.67
chr10	74824776	74825124	0.02
chr2	186673401	186675354	1.0
chr21	42893930	42894164	0.01
chr6	10098924	10099524	0.0
chr13	20794689	20796529	0.84
chrX	50393861	50395150	0.14
chr17	32150866	32151557	0.21
chr2	56282551	56282596	0.75
chr16	30992661	30993225	0.19
chr2	84771014	84772890	0.0
chr4	21843239	21845016	0.05
chr2	84677503	84678559	0.0
chr16	2509324	2511298	0.8
chr12	8132403	8134298	0.79
chr6	125248616	125250037	0.0
chr7	149518117	149519123	0.0
chr2	84795071	84796634	0.0
chr21	29226724	29228703	0.07
chr5	28606914	28606935	0.73
chr7	114162597	114164312	0.0
chrX	583196	583203	0.67
chr20	4707286	4707669	0.8
chr2	173085750	173087410	0.97
chr3	166861391	166861430	0.8
chr7	151129745	151131693	0.81
chr15	69658579	69658623	0.5
chr13	43432726	43433779	0.68
chr12	24855243	24857052	0.96
chr1	10306485	10308187	0.94
chr7	88894274	88896053	0.12
chr9	1476975	1477008	0.12
chr1	14832150	14832184	0.5
chr2	96159750	96161686	0.71
chr4	23305019	23306039	0.0
chr22	40845058	40846982	0.8
chr2	95846146	95847809	0.72
chr2	74056462	74058028	0.71
chr12	15134431	15136239	0.96
chr1	98098327	98098392	0.0
chr15	67652208	67654209	0.6
chrX	151639628	151641587	0.0
chr18	168860	170845	0.62
chr1	230517840	230518211	0.15
chr10	97553546	97553875	0.12
chr13	49263665	49264539	0.93
chrX	151565804	151565850	0.5
chr1	121578513	121579852	0.0
chr1	144061132	144062499	0.75
chr2	94186271	94187354	0.7
chr3	170235291	170237255	0.71
chr16	1781642	1781790	0.0
chr3	159810280	159812230	0.82
chr10	38727639	38729637	0.0
chr11	122058220	122060152	0.39
chr8	63281783	63282674	0.0
chr8	37442631	37444410	0.39
chr8	71355646	71357640	0.0
chr6	112938352	112940338	0.4
chrX	57430076	57431826	0.0
chr17	35995413	35996084	0.0
chr12	34590382	34592147	0.07
chr12	34280771	34280945	0.71
chr6	136204018	136205695	0.73
chr10	58921885	58923779	1.0
chr12	102313349	102313451	0.3
chr1	21013133	21013487	0.32
chr5	56612633	56614607	0.89
chr1	244686328	244686406	0.24
chr14	103084459	103084522	0.0
chrX	57752008	57753807	0.08
chr5	13680997	13682878	0.0
chr13	34119157	34121139	0.81
chr4	68521368	68523354	0.12
chr17	77192562	77193889	0.7
chr8	22075087	22075811	0.86
chr1	149514360	149516120	0.26
chr1	149509766	149511759	0.0
chr9	69869223	69871173	0.78
chr16	31391944	31393225	0.04
chr2	198393826	198394603	0.58
chr22	34914010	34915296	0.0
chr14	102780552	102780974	0.37
chr2	239061954	239062568	0.23
chr20	2199325	2199379	1.0
chr19	13502800	13504653	0.02
chr15	36764808	36766650	0.8
chr10	59809354	59810518	0.7
chr13	35070116	35071908	0.4
chr4	73547778	73549744	0.0
chr1	214962502	214964273	0.0
chr18	14118663	14120320	0.56
chr5	129937041	129938269	0.0
chr3	64797913	64799898	0.82
chr19	40740597	40742583	0.76
chr5	128659021	128660810	0.0
chr5	128612390	128613501	0.0
chr8	130287559	130288027	0.73
chr15	60505642	60507605	0.85
chr1	174001257	174002067	0.64
chr9	71674632	71675911	0.0
chrX	3210245	3212238	0.0
chr3	64605424	64607215	0.94
chr6	20089063	20089119	0.83
chr5	93575063	93576264	0.66
chr8	118669731	118671546	0.0
chr6	130627571	130629336	0.0
chr11	56962541	56964472	0.85
chr3	197165987	197166336	0.0
chr10	90351980	90353766	0.0
chr2	226351275	226353201	0.03
chr11	29260039	29261620	0.0
chr3	46171151	46172473	0.0
chr12	62855530	62857131	0.04
chr8	106582835	106584578	0.0
chr17	69140003	69141468	0.0
chr1	185866435	185868335	0.07
chr12	77718290	77720268	0.0
chr7	103674228	103675810	0.76
chr17	76537119	76537319	0.0
chr21	38233875	38235635	0.0
chr17	56685976	56687927	0.0
chr6	141519370	141520978	0.0
chr5	33208395	33210167	0.0
chr6	54354439	54356306	0.0
chr2	219745198	219746474	0.0
chr4	149816175	149817980	0.03
chr6	16997586	16998672	0.03
chr10	90111975	90113186	0.0
chr12	80396197	80397728	0.0
chr2	220130827	220132798	0.0
chr12	46922016	46923961	0.0
chr12	17299686	17301267	0.12
chr10	94746295	94747642	0.01
chr12	101892473	101893478	0.05
chr2	224240895	224242665	0.0
chr2	221995252	221996491	0.04
chr4	73650999	73652935	0.0
chr16	82842880	82844494	0.09
chr5	13289619	13291599	0.0
chr6	74611817	74613814	0.0
chr5	13857891	13859536	0.06
chr9	134408626	134408764	0.13
chr10	90563612	90565589	0.18
chr6	144311124	144313038	0.14
chr2	219876287	219878061	0.08
chr1	185884971	185886846	0.05
chr5	13714355	13716277	0.0
chr9	22984920	22986713	0.0
chr12	80057889	80059488	0.0
chr8	71922303	71924142	0.1
chr17	56238403	56240253	0.02
chr9	23062093	23063949	0.0
chr8	114839752	114841258	0.0
chrX	29686747	29688598	0.11
chr18	2428570	2430063	0.11
chr15	83319995	83321910	0.01
chrX	2858493	2859040	0.07
chr12	126281159	126282042	0.05
chr21	34004886	34006679	0.17
chr6	152035791	152037454	0.15
chr5	13034289	13036099	0.14
chr15	96170915	96172769	0.03
chr15	96099554	96101534	0.11
chr9	73101833	73103787	0.12
chr12	18719166	18720051	0.0
chrX	29690555	29692532	0.15
chr2	56785797	56787740	0.0
chr8	118259566	118261513	0.0
chr16	8033431	8034459	0.23
chr2	156973026	156974971	0.0
chr1	206383684	206384449	0.04
chr8	71910048	71912024	0.0
chr2	230526795	230527134	0.16
chr3	185840481	185842482	0.11
chr6	132148476	132150053	0.0
chr2	228636758	228638499	0.1
chr3	86974411	86976029	0.28
chr3	128701970	128702141	0.09
chr2	227796641	227798607	0.22
chr14	85250070	85251134	0.0
chr6	131462945	131464388	0.15
chr7	135712157	135713153	0.19
chr7	41742148	41742967	0.0
chr12	80120721	80122702	0.03
chr9	23242797	23244775	0.0
chr9	23231933	23233502	0.0
chr12	113765989	113766583	0.01
chr12	46293199	46294338	0.02
chr16	27350559	27352555	0.23
chr7	152839643	152840938	0.01
chr1	94164024	94166004	0.23
chr2	147319132	147320871	0.0
chr5	33708851	33710791	0.16
chr19	5894097	5894896	0.01
chr19	18433130	18434295	0.0
chr5	8792830	8794543	0.11
chr8	10760756	10761286	0.01
chr2	227884144	227884776	0.0
chr3	52028576	52028773	0.33
chr12	47201542	47203477	0.02
chr13	109869368	109870167	0.03
chrX	2873007	2873742	0.36
chr8	106471789	106473675	0.03
chr3	190471602	190472782	0.08
chr2	33303719	33303786	0.36
chrX	95680171	95681592	0.0
chr14	53702023	53703422	0.14
chr3	154106368	154106621	0.19
chr6	77294289	77295426	0.0
chr12	46061637	46063466	0.0
chr6	130427601	130429320	0.06
chr9	109785469	109787161	0.07
chr2	156589441	156589945	0.0
chr12	11483637	11483952	0.23
chr7	143527191	143528794	0.16
chr22	35042316	35044090	0.17
chrX	19703389	19704335	0.23
chr2	32959311	32959682	0.41
chr5	159932449	159934053	0.03
chr19	49690363	49690707	0.01
chr1	149414053	149415759	0.41
chrX	9748353	9749837	0.05
chr11	102092329	102094233	0.15
chr10	94738905	94740170	0.02
chr12	58695308	58696988	0.38
chrX	10027344	10029072	0.33
chr15	78752111	78753858	0.02
chr3	11076867	11078585	0.36
chr13	55136079	55137833	0.07
chr1	214741235	214743194	0.08
chr16	8047799	8049686	0.02
chr21	35378714	35380661	0.4
chr11	102122631	102124029	0.39
chr2	228539134	228540238	0.0
chr1	205495541	205495696	0.48
chr17	68591657	68591940	0.14
chr1	214837316	214839143	0.07
chr5	160447197	160448473	0.08
chr9	73164576	73166340	0.02
chr22	35656353	35656943	0.04
chr21	34767191	34768933	0.44
chr22	34829668	34831533	0.04
chr14	55840945	55841077	0.47
chr5	33701382	33703073	0.0
chr2	128443225	128445164	0.86
chr1	155974942	155975703	0.8
chr1	10161145	10161295	0.44
chr5	36537996	36539325	0.19
chr1	185979319	185981067	0.09
chr21	38317683	38319267	0.25
chr13	72851071	72851820	0.02
chr1	2979308	2980002	0.08
chrX	3287986	3289936	0.0
chr7	41813793	41815766	0.01
chr1	61607382	61607945	0.05
chrX	45719204	45721191	0.06
chr6	143872797	143874019	0.43
chr18	63583120	63585072	0.0
chr6	140700651	140702187	0.0
chr9	109773198	109775156	0.0
chr5	32961825	32963405	0.0
chr11	102114192	102116117	0.05
chr2	33181429	33182211	0.33
chr6	142004301	142006043	0.32
chr9	108345652	108346454	0.0
chr4	175633009	175634975	0.26
chr5	33142027	33143931	0.02
chr7	103794636	103796257	0.74
chr2	220667411	220669131	0.0
chr9	72461338	72462866	0.0
chr6	105679366	105680855	0.0
chr7	12812621	12814565	0.04
chr16	46635790	46636517	0.14
chr10	90584648	90586456	0.0
chr7	123019659	123021660	0.0
chr7	2228833	2230188	0.45
chr13	37264775	37266665	0.23
chr21	34703800	34705182	0.12
chr18	2124386	2126371	0.14
chr1	185989874	185991436	0.04
chr4	22030343	22032147	0.0
chrX	46347674	46349436	0.0
chr11	102631356	102632730	0.15
chr11	102570713	102572561	0.24
chr4	21862755	21864692	0.32
chr16	77362558	77364386	0.04
chr14	90604347	90604861	0.06
chr12	47045695	47047405	0.0
chr18	1970819	1972601	0.0
chr2	226107335	226108892	0.0
chr17	72870459	72870826	0.06
chr2	220451259	220453081	0.0
chr13	110937814	110937959	0.5
chr17	59366995	59367110	0.63
chr4	24826031	24827852	0.08
chr21	29211932	29212568	0.07
chr6	27606021	27606463	0.39
chr2	19419072	19420940	0.08
chr10	90233017	90234905	0.0
chr6	129939470	129940957	0.0
chr8	133540105	133540593	0.0
chr6	5637806	5638085	0.13
chr6	129791715	129793581	0.0
chr12	101900494	101902456	0.02
chr2	198904687	198906567	0.0
chr2	57510948	57512941	0.12
chr2	198918460	198920377	0.02
chrX	138696334	138698252	0.0
chrX	2835780	2837563	0.04
chr7	103920178	103921811	0.79
chr8	118453484	118455143	0.0
chr10	87068448	87068845	0.33
chr3	151989421	151991112	0.0
chr9	134846520	134847939	0.23
chr21	29202744	29203620	0.02
chr2	220323738	220325650	0.02
chr5	33223759	33225642	0.01
chr6	169036312	169038223	0.54
chr1	201594490	201594822	0.15
chr2	219859176	219861120	0.01
chr21	38349859	38351531	0.35
chr21	29253176	29255109	0.01
chr6	140914339	140916255	0.04
chr19	51316516	51317794	0.82
chr13	21326088	21326672	0.03
chr9	109789349	109791042	0.12
chr9	107855370	107857108	0.2
chr6	54619385	54621060	0.07
chr20	18023916	18024371	0.0
chr11	110065309	110066669	0.48
chr8	118322460	118323815	0.0
chr4	80679472	80681340	0.02
chr6	9169884	9171834	0.02
chr16	82661050	82662964	0.02
chr10	90207819	90209575	0.1
chr12	52199274	52201263	0.05
chr16	83745201	83746009	0.04
chr2	226798759	226798813	0.77
chr4	186724806	186726219	0.37
chr12	79642843	79644599	0.0
chr20	9163693	9163974	0.07
chr17	44004488	44005412	0.02
chr5	96682874	96684870	0.33
chr12	77507660	77509430	0.0
chr4	109935900	109936383	0.03
chr5	136191691	136191829	0.18
chr5	168883236	168884517	0.18
chr12	80573264	80574856	0.08
chr17	13285484	13287249	0.11
chr9	4666083	4666989	0.03
chr21	38255349	38257320	0.12
chr22	45328852	45330260	0.15
chr9	109862520	109863973	0.11
chr5	33174366	33176268	0.09
chr19	49712439	49713296	0.04
chr2	83917150	83917165	0.57
chr6	7625735	7627299	0.54
chr21	35105736	35107477	0.13
chr16	1770311	1770872	0.03
chr2	160157922	160158387	0.1
chr12	77568170	77570119	0.07
chr7	144105802	144107472	0.07
chr21	29207488	29208216	0.16
chr9	109834601	109836245	0.17
chr9	108456072	108457114	0.08
chr2	220832542	220834508	0.22
chr6	54249013	54251013	0.07
chr9	23102059	23103940	0.0
chr8	57931330	57933208	0.0
chr11	130500768	130501841	0.24
chr1	30856265	30856687	0.0
chr3	153462046	153462158	0.6
chr2	174670452	174671590	0.48
chr14	53809076	53810927	0.06
chr21	29237908	29238640	0.1
chr4	144736174	144738170	0.13
chr5	160440380	160441423	0.2
chr12	102327212	102329109	0.0
chr14	99749829	99750311	0.04
chr8	120350498	120352465	0.15
chr12	95545737	95546792	0.08
chr2	199025100	199027015	0.02
chr12	101912970	101914938	0.44
chr7	104047362	104049299	0.62
chr6	10411964	10411974	0.67
chr21	34995720	34997658	0.15
chr9	95326452	95327188	0.35
chr5	171588834	171590558	0.41
chr2	33165042	33165733	0.45
chr2	220802026	220804000	0.16
chr13	37029638	37030391	0.1
chr1	245134170	245134612	0.01
chr2	33108625	33108771	0.0
chr2	33336405	33336720	0.27
chr12	58942469	58944199	0.18
chrX	423347	423862	0.55
chr2	33161132	33161469	0.31
chr5	33165137	33166869	0.13
chr5	32864868	32866869	0.04
chrX	95701555	95702887	0.08
chr9	23184485	23186417	0.04
chr7	42888108	42889292	0.03
chr2	33422847	33424234	0.22
chr17	56151544	56153200	0.13
chr1	185874283	185876223	0.03
chr22	31715250	31715564	0.0
chr1	185900393	185901825	0.0
chr7	41866129	41868092	0.02
chr12	58407740	58409528	0.02
chr12	77742832	77744715	0.02
chr12	47043347	47045311	0.04
chr12	18215551	18216875	0.07
chr18	2312088	2313853	0.03
chr11	29331624	29333561	0.17
chr4	105233790	105235684	0.56
chrX	120762423	120762820	0.67
chr9	107473484	107475377	0.29
chr12	48317209	48317280	0.61
chr10	6397652	6398256	0.47
chr6	100228228	100229270	0.01
chr10	89129233	89130931	0.29
chr2	33129286	33129357	0.3
chr8	108137391	108138201	0.02
chr13	37201147	37203048	0.07
chr16	77644870	77646737	0.15
chr7	41887795	41889392	0.07
chr12	58426592	58428514	0.04
chr2	33007087	33007207	0.3
chr21	34959605	34961423	0.16
chr6	1594738	1595459	0.05
chr12	47212671	47214600	0.0
chr2	220615662	220617663	0.01
chr3	172596717	172597636	0.6
chr3	11919444	11919589	1.0
chr13	44641910	44643752	0.61
chr13	37490644	37492484	0.12
chr13	80284179	80284759	0.0
chr3	86962783	86964658	0.03
chr8	105960845	105962818	0.03
chr21	35387331	35389225	0.0
chr16	83211361	83213355	0.0
chr17	14319493	14321481	0.0
chr21	8447477	8447621	0.12
chr5	89848782	89849156	0.76
chr8	144401945	144402141	0.51
chr11	102102339	102104169	0.43
chr1	186252767	186254640	0.11
chr6	139227651	139229570	0.2
chr21	37913804	37914065	0.2
chr4	177500726	177502164	0.13
chr14	27982633	27984547	0.57
chr3	154957650	154959193	0.0
chr15	74956055	74956445	0.01
chr8	106237385	106238989	0.0
chr13	55056097	55058067	0.14
chr4	24629715	24631136	0.18
chr12	77777671	77779268	0.25
chrX	9926466	9928384	0.28
chr4	81026240	81027642	0.1
chr21	35277613	35279591	0.22
chr10	90129508	90131481	0.06
chr5	32736280	32738245	0.03
chr12	77935823	77937546	0.03
chr4	156370454	156372157	0.0
chr7	103660563	103662515	0.85
chr2	104648403	104650372	0.93
chr4	81039259	81040499	0.0
chr1	162456603	162456807	0.0
chr5	53486228	53487412	0.05
chrX	65147745	65149713	0.21
chr14	26369866	26370800	0.0
chr12	46783337	46784974	0.02
chr11	61987191	61987291	0.43
chr2	33073873	33074459	0.54
chr17	56689274	56691124	0.19
chr5	33851560	33851952	0.07
chr4	156680664	156681858	0.0
chr8	106070061	106072017	0.05
chr12	58411760	58413586	0.03
chr2	220496125	220497932	0.03
chr12	47364810	47366727	0.02
chr5	68288133	68288236	0.05
chrX	45880317	45882245	0.0
chr2	84827258	84829217	0.0
chr2	104720555	104722529	0.83
chr5	168174201	168174746	0.68
chr6	137900410	137900436	0.43
chr5	128984974	128985373	0.95
chr8	8413832	8415292	0.3
chr6	126280508	126282456	0.64
chrX	46355314	46357106	0.29
chr1	3177571	3177628	0.7
chr8	121538758	121540573	0.25
chr5	53716404	53716560	0.64
chr4	54092301	54092663	0.0
chr11	126359705	126360127	0.27
chr17	5111579	5112125	0.0
chr11	50313558	50315452	0.0
chr20	30335707	30335814	0.3
chr2	56510451	56512263	0.06
chr6	151510193	151510956	0.0
chr11	615627	616256	0.0
chr15	61915724	61916471	0.03
chr17	56235552	56237428	0.07
chr8	106314121	106316083	0.04
chrX	130124908	130125627	0.06
chr4	144761384	144763279	0.0
chr18	2220217	2222037	0.09
chr4	149812675	149813017	0.0
chr21	35459039	35460482	0.07
chr12	58567419	58569337	0.03
chr12	77408471	77410329	0.05
chr6	154039057	154040553	0.03
chr7	103481044	103482964	0.77
chr5	39980389	39982118	0.0
chr14	90453367	90454687	0.0
chr4	187666242	187668236	0.28
chr1	185870481	185872162	0.13
chr3	188009675	188011580	0.17
chr2	10814871	10815355	0.02
chr6	24726408	24727768	0.5
chr21	44805263	44805500	0.33
chr6	10379484	10380150	0.21
chr10	94724387	94725502	0.03
chr5	141824951	141826086	0.01
chr8	106205251	106207204	0.07
chr18	2103113	2105009	0.23
chr12	46696027	46697965	0.25
chr1	1937345	1937394	0.76
chr5	32878011	32879149	0.0
chr2	157210748	157212167	0.0
chr5	32998257	33000257	0.03
chr19	44259687	44260517	0.01
chr12	11260348	11262002	0.0
chr8	16391653	16393642	0.0
chrX	88052392	88053692	0.18
chr8	95448360	95449623	0.0
chr5	36455644	36456187	0.6
chr6	37474230	37474600	0.43
chr10	90666947	90668850	0.3
chr20	26193071	26194382	0.13
chr1	170937544	170937608	0.68
chr12	114669014	114670150	0.03
chr9	73137935	73139929	0.05
chr3	188058213	188059913	0.05
chr2	198732144	198734057	0.02
chr21	36646026	36647519	0.03
chr2	33031688	33032436	0.31
chr4	121222828	121224791	0.4
chr12	126192868	126194737	0.09
chr7	41908075	41908704	0.12
chr12	102432538	102434419	0.03
chr2	226154370	226155958	0.03
chr9	109993448	109995446	0.17
chr12	58437980	58439714	0.0
chr2	225830010	225831980	0.0
chr9	22297552	22298769	0.0
chr12	58262978	58264804	0.02
chr4	24785452	24787275	0.03
chr3	190690704	190692683	0.07
chr21	38280964	38282894	0.08
chr5	39991326	39993275	0.04
chr1	214974250	214975653	0.0
chr5	13723920	13725888	0.02
chr10	90053113	90055052	0.05
chr5	34505595	34507070	0.27
chr17	56255149	56256425	0.26
chr5	36515093	36516960	0.02
chr1	215121184	215122996	0.13
chr16	26994635	26996470	0.05
chr21	29213247	29214306	0.04
chr1	100680138	100680828	0.0
chr5	77077774	77077937	0.0
chr11	29227462	29229447	0.14
chr12	58322805	58324682	0.05
chr4	21932994	21934766	0.05
chr17	13062524	13064522	0.07
chr12	58808640	58810540	0.04
chr1	186809251	186809553	0.03
chr9	108494110	108495644	0.03
chr4	52076819	52077101	0.02
chr3	155025610	155026553	0.27
chr6	144226585	144228024	0.0
chr21	17798619	17800574	0.44
chr6	169388966	169390586	0.26
chr1	19693919	19695841	0.56
chr19	49429917	49429994	0.5
chrX	45673115	45674406	0.0
chr3	128194989	128196279	0.12
chr1	215080548	215082514	0.15
chr7	41850322	41852092	0.04
chr2	19416177	19417889	0.08
chr16	67393145	67393281	0.03
chr17	68841697	68843435	0.26
chr13	21044465	21046442	0.36
chr6	130223365	130224919	0.27
chr17	56204936	56206708	0.29
chr12	47325535	47327534	0.01
chr6	151729487	151731217	0.03
chr6	130193028	130194992	0.05
chr17	68806617	68808597	0.09
chr2	226449955	226451832	0.1
chr16	83520755	83522684	0.04
chr3	44958064	44958520	0.12
chr6	89976288	89977551	0.05
chr16	83777440	83777487	0.14
chr11	93330465	93330707	0.03
chr12	77391920	77393743	0.34
chr6	148407879	148409805	0.35
chr12	77788142	77790035	0.12
chr12	77907063	77909055	0.04
chr12	58064072	58065921	0.16
chr2	33004403	33004646	0.47
chr8	16758606	16759118	0.35
chr17	81911872	81911889	0.41
chr18	1968640	1970511	0.02
chr12	47381560	47383528	0.12
chr11	12746704	12746939	0.57
chr1	119176961	119178733	0.68
chrX	39151712	39153324	0.0
chr2	23698366	23699343	0.03
chr5	33640533	33642446	0.04
chr17	21194231	21195266	0.01
chr12	46879448	46881428	0.03
chr5	13241206	13243098	0.03
chr8	71962128	71963199	0.06
chrX	16267599	16269462	0.0
chr5	13506365	13507359	0.0
chr1	186824334	186825219	0.01
chr2	154793662	154795598	0.14
chr12	56942481	56944039	0.19
chr2	33182610	33183092	0.44
chr5	133702813	133703850	0.06
chr10	90588031	90589711	0.06
chr13	109783842	109784394	0.02
chr8	116551849	116552261	0.01
chr1	185933558	185935229	0.09
chr6	130612661	130614572	0.11
chr15	96158991	96160473	0.03
chr20	63696676	63697823	0.05
chr8	15447297	15447744	0.03
chr14	53890448	53892234	0.04
chr2	33309143	33309240	0.15
chr1	186208145	186209974	0.21
chr15	95684057	95685650	0.34
chr5	134226971	134227082	0.08
chr4	156473304	156474982	0.26
chr9	23195268	23197218	0.13
chr12	49190229	49190640	0.1
chr12	47603214	47605179	0.1
chr2	226497764	226499732	0.14
chr8	23149664	23150105	0.03
chr11	101846699	101848410	0.02
chr6	169298304	169300251	0.13
chr6	57813037	57813717	0.3
chr12	105573277	105573609	0.44
chr1	244799651	244800576	0.54
chr7	40984184	40986082	0.71
chr5	8975888	8977485	0.0
chr12	64853020	64853235	0.7
chr21	35746260	35748255	0.0
chr7	6724313	6724454	0.43
chr20	26162526	26164407	0.02
chrX	65763764	65765691	0.0
chr5	129552293	129553983	1.0
chr17	68829731	68831256	0.0
chr16	83611159	83612528	0.0
chr4	146717317	146717381	0.7
chr1	184052834	184054631	0.68
chr17	69003612	69004775	0.11
chr9	41022158	41023798	0.54
chr20	56384935	56385427	0.57
chrX	9990069	9991821	0.24
chr20	44420204	44420264	0.84
